Multi Core / FIFO Core Used
Job Number: 1 | Core: 0
Job Number: 2 | Core: 1
Job Number: 3 | Core: 2
Job Number: 4 | Core: 3
Job Number: 5 | Core: 0
Job Number: 6 | Core: 1
Job Number: 7 | Core: 2
Job Number: 8 | Core: 3
Job Number: 9 | Core: 0
Job Number: 10 | Core: 1
Job Number: 11 | Core: 2
Job Number: 12 | Core: 3
Job Number: 13 | Core: 0
Job Number: 14 | Core: 1
Job Number: 15 | Core: 2
Job Number: 16 | Core: 3
Job Number: 17 | Core: 0
Job Number: 18 | Core: 1
Job Number: 19 | Core: 2
Job Number: 20 | Core: 3
Job Number: 21 | Core: 0
Job Number: 22 | Core: 1
Job Number: 23 | Core: 2
Job Number: 24 | Core: 3
Job Number: 25 | Core: 0
Job Number: 26 | Core: 1
Job Number: 27 | Core: 2
Job Number: 28 | Core: 3
Job Number: 29 | Core: 0
Job Number: 30 | Core: 1

Multi Core / PRIO Core Used
Job Number: 1 | Core: 0
Job Number: 5 | Core: 1
Job Number: 2 | Core: 2
Job Number: 4 | Core: 3
Job Number: 7 | Core: 0
Job Number: 3 | Core: 1
Job Number: 6 | Core: 2
Job Number: 8 | Core: 3
Job Number: 9 | Core: 0
Job Number: 14 | Core: 1
Job Number: 11 | Core: 2
Job Number: 15 | Core: 3
Job Number: 16 | Core: 0
Job Number: 12 | Core: 1
Job Number: 10 | Core: 2
Job Number: 13 | Core: 3
Job Number: 19 | Core: 0
Job Number: 20 | Core: 1
Job Number: 17 | Core: 2
Job Number: 21 | Core: 3
Job Number: 23 | Core: 0
Job Number: 24 | Core: 1
Job Number: 22 | Core: 2
Job Number: 18 | Core: 3
Job Number: 29 | Core: 0
Job Number: 28 | Core: 1
Job Number: 26 | Core: 2
Job Number: 30 | Core: 3
Job Number: 25 | Core: 0
Job Number: 27 | Core: 1
