Wait Times: Single Core | FIFO Policy
Job Number: 1 | Time (ms): 5.3498
Job Number: 2 | Time (ms): 68.5264
Job Number: 3 | Time (ms): 115.7125
Job Number: 4 | Time (ms): 163.2956
Job Number: 5 | Time (ms): 210.1716
Job Number: 6 | Time (ms): 257.3642
Job Number: 7 | Time (ms): 308.9927
Job Number: 8 | Time (ms): 356.3284
Job Number: 9 | Time (ms): 407.106
Job Number: 10 | Time (ms): 453.8453
Job Number: 11 | Time (ms): 499.9009
Job Number: 12 | Time (ms): 546.9475
Job Number: 13 | Time (ms): 601.028
Job Number: 14 | Time (ms): 650.7513
Job Number: 15 | Time (ms): 697.3967
Job Number: 16 | Time (ms): 744.7259
Job Number: 17 | Time (ms): 790.62
Job Number: 18 | Time (ms): 838.2541
Job Number: 19 | Time (ms): 886.1811
Job Number: 20 | Time (ms): 933.8139
Job Number: 21 | Time (ms): 981.0466
Job Number: 22 | Time (ms): 1028.7935
Job Number: 23 | Time (ms): 1075.9941
Job Number: 24 | Time (ms): 1122.731
Job Number: 25 | Time (ms): 1169.6861
Job Number: 26 | Time (ms): 1216.1301
Job Number: 27 | Time (ms): 1265.8767
Job Number: 28 | Time (ms): 1315.4081
Job Number: 29 | Time (ms): 1363.8213
Job Number: 30 | Time (ms): 1413.3317

Wait Times: Single Core | PRIORITY Policy
Job Number: 19 | Time (ms): 5.3224
Job Number: 29 | Time (ms): 88.5084
Job Number: 1 | Time (ms): 135.4168
Job Number: 9 | Time (ms): 183.0121
Job Number: 14 | Time (ms): 229.956
Job Number: 20 | Time (ms): 277.5993
Job Number: 5 | Time (ms): 327.3926
Job Number: 11 | Time (ms): 381.6116
Job Number: 28 | Time (ms): 432.7835
Job Number: 2 | Time (ms): 479.9514
Job Number: 17 | Time (ms): 526.9689
Job Number: 21 | Time (ms): 575.047
Job Number: 26 | Time (ms): 626.8739
Job Number: 4 | Time (ms): 677.244
Job Number: 7 | Time (ms): 724.837
Job Number: 15 | Time (ms): 774.032
Job Number: 23 | Time (ms): 822.2298
Job Number: 3 | Time (ms): 870.7897
Job Number: 6 | Time (ms): 919.8424
Job Number: 24 | Time (ms): 968.4734
Job Number: 16 | Time (ms): 1016.967
Job Number: 30 | Time (ms): 1065.3572
Job Number: 12 | Time (ms): 1114.3201
Job Number: 25 | Time (ms): 1165.0008
Job Number: 27 | Time (ms): 1215.7311
Job Number: 10 | Time (ms): 1266.3969
Job Number: 22 | Time (ms): 1316.0422
Job Number: 13 | Time (ms): 1368.0038
Job Number: 18 | Time (ms): 1417.0045
Job Number: 8 | Time (ms): 1465.9829

Wait Times: Multi Core | FIFO Policy
Job Number: 1 | Time (ms): 61.792
Job Number: 2 | Time (ms): 60.7917
Job Number: 3 | Time (ms): 60.59
Job Number: 4 | Time (ms): 60.577
Job Number: 5 | Time (ms): 87.6012
Job Number: 6 | Time (ms): 87.5849
Job Number: 7 | Time (ms): 87.5742
Job Number: 8 | Time (ms): 87.5599
Job Number: 9 | Time (ms): 88.2709
Job Number: 10 | Time (ms): 88.2507
Job Number: 11 | Time (ms): 88.2361
Job Number: 12 | Time (ms): 88.2259
Job Number: 13 | Time (ms): 88.8265
Job Number: 14 | Time (ms): 88.8159
Job Number: 15 | Time (ms): 88.8089
Job Number: 16 | Time (ms): 140.0147
Job Number: 17 | Time (ms): 139.9993
Job Number: 18 | Time (ms): 139.9849
Job Number: 19 | Time (ms): 139.9706
Job Number: 20 | Time (ms): 140.7481
Job Number: 21 | Time (ms): 140.7408
Job Number: 22 | Time (ms): 140.7238
Job Number: 23 | Time (ms): 140.7118
Job Number: 24 | Time (ms): 141.2712
Job Number: 25 | Time (ms): 141.2567
Job Number: 26 | Time (ms): 141.2421
Job Number: 27 | Time (ms): 141.2309
Job Number: 28 | Time (ms): 141.946
Job Number: 29 | Time (ms): 141.9319
Job Number: 30 | Time (ms): 141.9565

Wait Times: Multi Core | PRIORITY Policy
Job Number: 19 | Time (ms): 67.3736
Job Number: 29 | Time (ms): 66.5941
Job Number: 1 | Time (ms): 67.3062
Job Number: 9 | Time (ms): 66.7592
Job Number: 14 | Time (ms): 101.295
Job Number: 20 | Time (ms): 101.1978
Job Number: 5 | Time (ms): 101.4208
Job Number: 11 | Time (ms): 101.3407
Job Number: 28 | Time (ms): 101.7085
Job Number: 2 | Time (ms): 102.1126
Job Number: 17 | Time (ms): 101.8838
Job Number: 21 | Time (ms): 101.8265
Job Number: 26 | Time (ms): 102.5135
Job Number: 4 | Time (ms): 102.8396
Job Number: 7 | Time (ms): 102.7999
Job Number: 15 | Time (ms): 155.0159
Job Number: 23 | Time (ms): 154.9257
Job Number: 3 | Time (ms): 155.1934
Job Number: 6 | Time (ms): 155.1572
Job Number: 24 | Time (ms): 155.7688
Job Number: 16 | Time (ms): 155.8966
Job Number: 30 | Time (ms): 155.6767
Job Number: 12 | Time (ms): 155.9573
Job Number: 25 | Time (ms): 156.5306
Job Number: 27 | Time (ms): 156.4997
Job Number: 10 | Time (ms): 156.757
Job Number: 22 | Time (ms): 156.5806
Job Number: 13 | Time (ms): 157.3051
Job Number: 18 | Time (ms): 157.232
Job Number: 8 | Time (ms): 157.3856
